Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://btu.ac.in/home/"")",Chrome 125.0.0.0,,,13-06-2024 14:54:49,13-06-2024 14:54:55,5.948s,PASSED
"click(findTestObject(""Object Repository/Examination/Page_Bikaner Technical University/a_Time Table""))",Chrome 125.0.0.0,,,13-06-2024 14:54:55,13-06-2024 14:54:56,0.804s,FAILED
,,,,,,,
Test Cases/TC/Home,Chrome 125.0.0.0,,,13-06-2024 14:55:41,13-06-2024 14:55:55,13.742s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:55:41,13-06-2024 14:55:43,2.299s,PASSED
"navigateToUrl(""https://btu.ac.in/home/"")",Chrome 125.0.0.0,,,13-06-2024 14:55:43,13-06-2024 14:55:49,5.758s,PASSED
"click(findTestObject(""Object Repository/Home/Page_Bikaner Technical University/a_Read More""))",Chrome 125.0.0.0,,,13-06-2024 14:55:49,13-06-2024 14:55:52,2.960s,PASSED
"click(findTestObject(""Object Repository/Home/Page_Bikaner Technical University/button_Accept Cookies""))",Chrome 125.0.0.0,,,13-06-2024 14:55:52,13-06-2024 14:55:53,1.100s,PASSED
"click(findTestObject(""Object Repository/Home/Page_Bikaner Technical University/a_Vision  Mission""))",Chrome 125.0.0.0,,,13-06-2024 14:55:53,13-06-2024 14:55:54,1.184s,PASSED
"click(findTestObject(""Object Repository/Home/Page_Bikaner Technical University/a_BTU Home""))",Chrome 125.0.0.0,,,13-06-2024 14:55:54,13-06-2024 14:55:55,0.418s,FAILED
